X,Y,fid_,stopabbr,stopname,city,county,stopabbr_j,uta_stopid,latitude,longitude,avgboard,avgalight,route,mode,zipcode,avgboard2,avgalight2
-111.854371,40.7498810000001,"169","101303",900 S / 1300 E (WB),Salt Lake City,Salt Lake,"101303","101303",40.74988100,-111.85437100,"11","7","9",Bus,"84102",10.65000000,6.85000000
-111.818319,40.573207,"195","101369",9800 S @ 2567 E,Sandy,Salt Lake,"101369","101369",40.57320700,-111.81831900,"0","0",F94,Flex Bus,"84092",0.00000000,0.00000000
-111.974571,41.078921,"4","101007",Layton Hills Mall,Layton,Davis,"101007","101007",41.07892100,-111.97457100,"118","117","472, 627, 628, 640, 677",Bus,"84041",117.70000000,117.19000000
-111.872325,40.882305,"712","109213",Orchard Dr @ 655 S,Bountiful,Davis,"109213","109213",40.88230500,-111.87232500,"1","3","455",Bus,"84010",1.21000000,2.71000000
-111.868001,40.8865230000001,"651","109025",Medical Dr @ 630 E,Bountiful,Davis,"109025","109025",40.88652300,-111.86800100,"11","7","455",Bus,"84010",11.16000000,6.92000000
-111.953267,40.7332280000001,"974","124049",1700 S / Fremont Dr (WB),Salt Lake City,Salt Lake,"124049","124049",40.73322800,-111.95326700,"1","0","509",Bus,"84104",1.04000000,0.26000000
-112.019337,40.6364510000001,"260","101517",Balsa Ave @ 5380 W,West Jordan,Salt Lake,"101517","101517",40.63645100,-112.01933700,"0","1","62",Bus,"84081",0.00000000,0.53000000
-111.872461,40.883951,"723","109232",Orchard Dr @ 530 S,Bountiful,Davis,"109232","109232",40.88395100,-111.87246100,"1","0","455",Bus,"84010",0.71000000,0.29000000
-111.944341,40.733231,"983","124058",1700 S / Industrial Rd (WB),Salt Lake City,Salt Lake,"124058","124058",40.73323100,-111.94434100,"1","2","509",Bus,"84104",0.52000000,1.58000000
-111.826641,40.687013,"312","101685",3900 S @ 2232 E (LDS Church P&R Lot,Holladay,Salt Lake,"101685","101685",40.68701300,-111.82664100,"0","1","39",Bus,"84124",0.26000000,0.53000000
-111.833871,40.583135,"318","101707",Highland Dr @ 9265 S,Sandy,Salt Lake,"101707","101707",40.58313500,-111.83387100,"3","0","220, F94",Bus,"84093",3.38000000,0.00000000
-111.973826,40.7111110000001,"332","101752",Parkway Blvd @ 3501 W,West Valley City,Salt Lake,"101752","101752",40.71111100,-111.97382600,"0","0","513",Bus,"84119",0.50000000,0.14000000
-111.865735,40.7335810000001,"85","101155",1700 S @ 881 E,Salt Lake City,Salt Lake,"101155","101155",40.73358100,-111.86573500,"6","11","17",Bus,"84105",5.97000000,10.98000000
-112.017564,40.623945,"100","101192",7000 S @ 5305 W,West Jordan,Salt Lake,"101192","101192",40.62394500,-112.01756400,"1","1","62",Bus,"84081",0.52000000,0.53000000
-111.938826,40.716735,"178","101335",Redwood Rd @ 2499 S,West Valley City,Salt Lake,"101335","101335",40.71673500,-111.93882600,"15","32","217",Bus,"84119",15.07000000,31.87000000
-111.904654,41.0049010000001,"575","105012",Main St @ 1475 N,Farmington,Davis,"105012","105012",41.00490100,-111.90465400,"1","1","455, 470",Bus,"84025",0.52000000,0.53000000
-111.923801,40.7198970000001,"5201",TX101738,RIVER TRAIL STATION,West Valley City,Salt Lake,TX101738,"101738",40.71989700,-111.92380100,"105","109",Green Line,TRAX,"84119",105.28527928,108.59457870
-111.948675,40.7050350000001,"5205",TX101742,Decker Lake Station,West Valley City,Salt Lake,TX101742,"101742",40.70503500,-111.94867500,"196","214",Green Line,TRAX,"84119",196.42035838,213.64986386
-111.914486,40.7715020000001,"5211",TX101993,Jackson/Euclid Station,Salt Lake City,Salt Lake,TX101993,"101993",40.77150200,-111.91448600,"650","643",Green Line,TRAX,"84116",649.93801114,643.25542591
-111.917453,40.6310730000001,"202","101376",Winchester St @ 1014 W,Murray,Salt Lake,"101376","101376",40.63107300,-111.91745300,"0","1","62",Bus,"84123",0.00000000,0.53000000
-111.899738,40.749171,"343","101777",300 W / 900 S (SB),Salt Lake City,Salt Lake,"101777","101777",40.74917100,-111.89973800,"4","6","9",Bus,"84101",3.90000000,5.53000000
-111.907648,41.0079240000001,"576","105014",Main St @ 1710 N,Farmington,Davis,"105014","105014",41.00792400,-111.90764800,"0","0","455, 470",Bus,"84025",0.26000000,0.00000000
-111.909156,41.010006,"577","105015",Main St @ 1798 N,Farmington,Davis,"105015","105015",41.01000600,-111.90915600,"0","0","455, 470",Bus,"84025",0.26000000,0.00000000
-111.918419,41.016507,"557","104050",Main St @ 1041 S,Kaysville,Davis,"104050","104050",41.01650700,-111.91841900,"2","0","470",Bus,"84037",1.56000000,0.26000000
-111.928046,41.0244260000001,"558","104053",Main St @ 627 S,Kaysville,Davis,"104053","104053",41.02442600,-111.92804600,"1","0","470",Bus,"84037",0.52000000,0.26000000
-111.933512,41.029206,"560","104055",Main St @ 325 S,Kaysville,Davis,"104055","104055",41.02920600,-111.93351200,"2","3","470, 627",Bus,"84037",1.56000000,2.90000000
-111.935656,41.031034,"561","104056",Main St @ 211 S,Kaysville,Davis,"104056","104056",41.03103400,-111.93565600,"10","9","470, 627",Bus,"84037",10.39000000,8.95000000
-111.92241,41.019464,"564","104061",Main St. @ 940 S.,Kaysville,Davis,"104061","104061",41.01946400,-111.92241000,"0","1","470",Bus,"84037",0.00000000,0.53000000
-111.874384,40.929067,"605","107027",Chase Ln @ 390 E,Centerville,Davis,"107027","107027",40.92906700,-111.87438400,"0","0","455",Bus,"84014",0.36000000,0.07000000
-111.873989,40.9289610000001,"606","107028",400 E @ 990 N,Centerville,Davis,"107028","107028",40.92896100,-111.87398900,"0","1","455",Bus,"84014",0.00000000,1.36000000
-111.875811,40.9291610000001,"607","107029",Chase Ln @ 230 E,Centerville,Davis,"107029","107029",40.92916100,-111.87581100,"1","2","455",Bus,"84014",1.00000000,1.50000000
-111.878871,40.9318910000001,"609","107031",Main St @ 1198 N   (Centerville),Centerville,Davis,"107031","107031",40.93189100,-111.87887100,"1","0","455, 470",Bus,"84014",0.52000000,0.26000000
-111.881304,40.9462350000001,"615","107046",Main St @ 1970 N,Centerville,Davis,"107046","107046",40.94623500,-111.88130400,"2","1","455, 470",Bus,"84014",1.56000000,0.79000000
-111.92017,40.7825100000001,"493","102124",600 N / 1000 W (WB),Salt Lake City,Salt Lake,"102124","102124",40.78251000,-111.92017000,"2","5","205",Bus,"84116",1.56000000,5.27000000
-111.883254,40.965581,"620","107054",200 E @ 911 S,Farmington,Davis,"107054","107054",40.96558100,-111.88325400,"0","0","455, 470",Bus,"84025",0.00000000,0.00000000
-111.883283,40.9672440000001,"621","107055",200 E @ 811 S,Farmington,Davis,"107055","107055",40.96724400,-111.88328300,"0","0","455, 470",Bus,"84025",0.00000000,0.00000000
-111.883252,40.9688610000001,"622","107056",200 E @ 681 S,Farmington,Davis,"107056","107056",40.96886100,-111.88325200,"0","0","455, 470",Bus,"84025",0.00000000,0.26000000
-111.883223,40.9708690000001,"623","107057",200 E @ 551 S,Farmington,Davis,"107057","107057",40.97086900,-111.88322300,"0","1","455, 470",Bus,"84025",0.00000000,1.32000000
-111.883195,40.972763,"624","107058",200 E @ 461 S,Farmington,Davis,"107058","107058",40.97276300,-111.88319500,"0","1","455, 470",Bus,"84025",0.26000000,0.53000000
-111.883169,40.9743790000001,"625","107059",200 E @ 355 S,Farmington,Davis,"107059","107059",40.97437900,-111.88316900,"0","0","455, 470",Bus,"84025",0.00000000,0.00000000
-111.883202,40.976012,"626","107060",200 E @ 221 S,Farmington,Davis,"107060","107060",40.97601200,-111.88320200,"0","0","455, 470",Bus,"84025",0.00000000,0.26000000
-111.883191,40.977513,"627","107061",200 E @ 185 S,Farmington,Davis,"107061","107061",40.97751300,-111.88319100,"0","0","455, 470",Bus,"84025",0.00000000,0.00000000
-111.883303,40.978641,"628","107062",200 E @ 111 S,Farmington,Davis,"107062","107062",40.97864100,-111.88330300,"0","1","455, 470",Bus,"84025",0.00000000,1.32000000
-111.946824,41.063365,"27","101038",Fairfield Rd @ 221 N,Layton,Davis,"101038","101038",41.06336500,-111.94682400,"1","2","627",Bus,"84041",0.78000000,1.58000000
-111.948673,41.0656480000001,"28","101039",Fairfield Rd @ 340 N,Layton,Davis,"101039","101039",41.06564800,-111.94867300,"0","0","627",Bus,"84041",0.00000000,0.00000000
-111.878624,40.929151,"608","107030",Chase Ln @ 30 E   (Centerville),Centerville,Davis,"107030","107030",40.92915100,-111.87862400,"1","1","455",Bus,"84014",0.85000000,0.78000000
-111.878853,40.9333540000001,"610","107032",Main St @ 1300 N,Centerville,Davis,"107032","107032",40.93335400,-111.87885300,"0","0","455, 470",Bus,"84014",0.00000000,0.00000000
-111.878873,40.935638,"611","107040",Main St @ 1390 N,Centerville,Davis,"107040","107040",40.93563800,-111.87887300,"0","0","455, 470",Bus,"84014",0.00000000,0.26000000
-112.005571,40.641827,"409","101959",Cougar Ln @ 6016 S,Kearns,Salt Lake,"101959","101959",40.64182700,-112.00557100,"1","4","248",Bus,"84118",1.07000000,3.92000000
-111.853353,40.7252550000001,"206","101383",2100 S / 1300 E (EB),Salt Lake City,Salt Lake,"101383","101383",40.72525500,-111.85335300,"39","30","21",Bus,"84105",38.71000000,29.76000000
-111.993806,40.710966,"241","101474",Lake Park Blvd @ 4256 W,West Valley City,Salt Lake,"101474","101474",40.71096600,-111.99380600,"0","0","513",Bus,"84120",0.00000000,0.00000000
-111.879734,40.9403140000001,"612","107043",Main St @ 1590 N,Centerville,Davis,"107043","107043",40.94031400,-111.87973400,"0","0","455, 470",Bus,"84014",0.00000000,0.00000000
-111.880049,40.9419770000001,"613","107044",Main St @ 1690 N,Centerville,Davis,"107044","107044",40.94197700,-111.88004900,"0","1","455, 470",Bus,"84014",0.26000000,0.53000000
-111.880512,40.9435310000001,"614","107045",Main St @ 1806 N,Centerville,Davis,"107045","107045",40.94353100,-111.88051200,"0","1","455, 470",Bus,"84014",0.00000000,0.79000000
-111.890061,40.9805940000001,"629","107064",State Street @ 114 W,Farmington,Davis,"107064","107064",40.98059400,-111.89006100,"0","0","455, 470, 667",Bus,"84025",0.00000000,0.00000000
-111.892397,40.9805920000001,"630","107065",State Street @ 222 W,Farmington,Davis,"107065","107065",40.98059200,-111.89239700,"0","0","455, 470, 667",Bus,"84025",0.00000000,0.00000000
-111.889366,40.9804070000001,"631","107066",State St @ 95 W,Farmington,Davis,"107066","107066",40.98040700,-111.88936600,"0","2","455, 470",Bus,"84025",0.36000000,1.50000000
-111.879009,40.9371320000001,"634","107089",Main St @ 1440 N,Centerville,Davis,"107089","107089",40.93713200,-111.87900900,"0","1","455, 470",Bus,"84014",0.00000000,0.79000000
