Name/Address,County,Latitude,Longitude,Mode
State Rd @ 790 S (NB),Utah,807004,40.35428100,Bus
1600 N @ 139 E,Utah,801041,40.32671300,Bus
Center Street @ 1981 W,Utah,801224,40.23382700,Bus
Freedom Blvd / 500 N (NB),Utah,801245,40.24071500,Bus
State St / Pacific Dr. (SB),Utah,805055,40.38120200,Bus
Center St / Vineyard Rd (EB),Utah,800008,40.29697000,Bus
100 E @ 2195 N,Utah,801015,40.38675600,Bus
Main St @ 100 E (WB),Utah,801044,40.37688800,Bus
1200 W @ 270 S,Utah,801094,40.29264300,Bus
Ashton Blvd / Triumph Blvd (NB),Utah,801183,40.42042100,Bus
920 S @ 331 W,Utah,801232,40.22170500,Bus
Center St @ 50 W (WB),Utah,806007,40.36408300,Bus
State St @ 740 E (WB),Utah,806107,40.37223400,Bus
State St / 600 N (SB),Utah,807044,40.34994700,Bus
Center St / Vineyard Rd (WB),Utah,800009,40.29720400,Bus
Center St / Orem Blvd (EB),Utah,800018,40.29705600,Bus
800 E @ 983 S,Utah,801045,40.27902300,Bus
300 W / River Park Dr (NB),Utah,801072,40.30276100,Bus
Freedom Blvd / 100 N (NB),Utah,801247,40.23571300,Bus
University Ave / 3700 N (SB),Utah,801257,40.28243200,Bus
4800 West @ 10080 N,Utah,801283,40.41626500,Bus
State St / 100 E (WB),Utah,805090,40.39737200,Bus
State St / 400 N (SB),Utah,807045,40.34427800,Bus
Main St @ 150 S (NB),Utah,806006,40.36189300,Bus
State St / 700 E (EB),Utah,806022,40.37257400,Bus
Main St / 400 N (NB),Utah,800002,40.30432200,Bus
Main St / 400 N (SB),Utah,800003,40.30373700,Bus
Main St / 110 N (NB),Utah,800004,40.29903300,Bus
Main St / 110 N (SB),Utah,800005,40.29862200,Bus
Vineyard Station (Bay A),Utah,800021,40.31173900,Bus
Uta Mt. Timpanogos Garage,Utah,801002,40.27710800,Bus
2230 N / Freedom Blvd (EB),Utah,801006,40.26334700,Bus
Freedom Blvd / 1950 N (NB),Utah,801007,40.26063700,Bus
Freedom Blvd / 1800 N (SB),Utah,801008,40.26116900,Bus
