Name/Address,Latitude,Longitude
State Rd @ 790 S (NB),40.35428100,-111.73430700
1600 N @ 139 E,40.32671300,-111.69291200
Center Street @ 1981 W,40.23382700,-111.69384400
Freedom Blvd / 500 N (NB),40.24071500,-111.66207200
State St / Pacific Dr. (SB),40.38120200,-111.81399500
Center St / Vineyard Rd (EB),40.29697000,-111.74359500
100 E @ 2195 N,40.38675600,-111.73990600
Main St @ 100 E (WB),40.37688800,-111.79669700
1200 W @ 270 S,40.29264300,-111.72434700
Ashton Blvd / Triumph Blvd (NB),40.42042100,-111.88600600
920 S @ 331 W,40.22170500,-111.66514800
Center St @ 50 W (WB),40.36408300,-111.74155200
State St @ 740 E (WB),40.37223400,-111.77778200
State St / 600 N (SB),40.34994700,-111.72969400
Center St / Vineyard Rd (WB),40.29720400,-111.74285800
Center St / Orem Blvd (EB),40.29705600,-111.69681300
800 E @ 983 S,40.27902300,-111.67619900
300 W / River Park Dr (NB),40.30276100,-111.66271300
Freedom Blvd / 100 N (NB),40.23571300,-111.66209500
University Ave / 3700 N (SB),40.28243200,-111.65858100
4800 West @ 10080 N,40.41626500,-111.77359100
State St / 100 E (WB),40.39737200,-111.84804600
State St / 400 N (SB),40.34427800,-111.72291100
Main St @ 150 S (NB),40.36189300,-111.74066600
State St / 700 E (EB),40.37257400,-111.78043100
Main St / 400 N (NB),40.30432200,-111.75363700
Main St / 400 N (SB),40.30373700,-111.75372800
Main St / 110 N (NB),40.29903300,-111.75319700
Main St / 110 N (SB),40.29862200,-111.75366200
Vineyard Station (Bay A),40.31173900,-111.75131300
Uta Mt. Timpanogos Garage,40.27710800,-111.72933800
2230 N / Freedom Blvd (EB),40.26334700,-111.66073300
Freedom Blvd / 1950 N (NB),40.26063700,-111.66143700
Freedom Blvd / 1800 N (SB),40.26116900,-111.66160400
North County Blvd @ 10900 N,40.43032900,-111.77361900
11000 N @ 5320 W,40.43200200,-111.78743500
Adobe,40.43559600,-111.89095100
11000 N @ 5331 W,40.43177900,-111.78686700
300 W / River Park Dr (SB),40.30315500,-111.66266600
300 W / 4900 N (SB),40.29955300,-111.66303800
State St / Green Spring Way (SB),40.37922500,-111.81336300
State St / Columbia Village (EB),40.37678800,-111.81025400
Main St / American Fork Center St (,40.37671600,-111.79894500
Main St / 100 E (EB),40.37670400,-111.79672600
State St / 300 E (EB),40.37491800,-111.79021600
Main St / 100 W (EB),40.37673100,-111.80148500
State St @ 400 E (WB),40.37475800,-111.78843800
State St @ Pleasant Grove Center St,40.36620700,-111.75173100
State St @ 500 E (WB),40.37420500,-111.78600100
State St / 500 E (EB),40.37351100,-111.78412700
State St / 860 E (EB),40.37083500,-111.77266800
State St / North County Blvd (EB),40.36977600,-111.76798600
State St / 1300 W (EB),40.36776100,-111.75915500
Center St / 400 W (EB),40.36506800,-111.74695100
Center St / 200 W (EB),40.36442400,-111.74411200
Center St / 100 W (EB),40.36405400,-111.74252900
State St / 150 S (SB),40.36200500,-111.74079700
Main St @ 50 S (NB),40.36321700,-111.74067100
State Rd @ 1300 W (WB),40.36821900,-111.76018100
Center St / 1200 W (WB),40.29735200,-111.72171500
Express Way Lane @ 1211 E,40.12286200,-111.63400500
Geneva Rd @ 1032 S,40.27842800,-111.73019800
University Ave / 3700 N (NB),40.28316000,-111.65840400
State St @ North County Blvd. (WB),40.37042200,-111.76982700
State St / 740 E (EB),40.37195600,-111.77775300
State St @ 400 N (NB),40.34508200,-111.72331500
State St @ 600 N (NB),40.35011700,-111.72930400
State Rd @ 800 N (NB),40.35230300,-111.73193200
State St / 700 N (SB),40.35141200,-111.73142500
State St @ 100 S (NB),40.29550900,-111.69408300
State St / 1500 N (WB),40.40660400,-111.86060600
Freedom Blvd / 800 N (NB),40.24458500,-111.66203400
1600 N @ 260 W,40.32647200,-111.72094400
State St @ 860 E (WB),40.37110100,-111.77285100
University Ave / 3300 N (SB),40.27706800,-111.65779800
Ashton Blvd / Triumph Blvd (EB),40.42019500,-111.88519700
State St @ Center St. (NB),40.29760900,-111.69499200
Main St @ 595 N,40.17514600,-111.61078900
900 N / 800 E (EB) for BYU S Campus,40.24580200,-111.64461800
Triumph Blvd / Ashton Blvd (NB),40.42068800,-111.88548100
400 S @ 350 E,40.16099700,-111.60444600
100 W @ 680 S,40.03377900,-111.73409400
Highway 198 @ 385 N,40.06035800,-111.66896800
State St @ 1200 N (NB),40.31987800,-111.70479400
State St @ 1800 N (NB),40.33061000,-111.71069000
State St @ 1960 N,40.33271900,-111.71245300
State St @ 300 N (NB),40.34342100,-111.72134600
State St / 800 W (SB),40.33549900,-111.71516100
800 S @ 705 W,40.03124100,-111.74380900
1460 N / 1900 W (EB),40.25339900,-111.69100800
1430 S / 550 W (WB),40.27078100,-111.70834100
State St / 400 E (EB),40.37431300,-111.78753200
Pleasant Grove Center St / State St,40.36562100,-111.74944200
Main St / American Fork Center St (,40.37691100,-111.79899400
Main St / 400 E (EB),39.97551800,-111.77657900
